code;url;product_name;brands;stores;traces_fr;nutrition_grade_fr;main_category_fr;energy_100g;fat_100g;saturated-fat_100g;carbohydrates_100g;sugars_100g;fiber_100g;proteins_100g;salt_100g
20269630;http://world-fr.openfoodfacts.org/produit/20269630/cereales-fourrees-au-chocolat-crownfield;Céréales fourrées au chocolat ;Crownfield;Lidl;Fruits à coque,Arachides;d;Petit-déjeuners;1874;15;4.5;68;29.8;5.5;7;0.55
20274653;http://world-fr.openfoodfacts.org/produit/20274653/boudoirs-sondey;Boudoirs;Sondey;LIDL;;d;Biscuits;1649;3;0.9;83;54;;7.4;0.08
20276607;http://world-fr.openfoodfacts.org/produit/20276607/galettes-au-beurre-catago;Galettes au beurre;Catago;Lidl;Fruits à coque;e;Biscuits;2014;16.3;10.4;74.7;42;1.3;5.9;0.48
20278434;http://world-fr.openfoodfacts.org/produit/20278434/boules-au-miel-crownfield;Boules au miel;Crownfield;Lidl;Lait,Fruits à coque,Arachides;c;Petit-déjeuners;1635;1.8;0.3;85;28.4;2;6.3;0.6858
20297183;http://world-fr.openfoodfacts.org/produit/20297183/paprika-xxl-crusti-croc;Paprika XXL;Crusti Croc;Lidl;Céleri,Soja;d;Chips et frites;2251;34;2.7;50.5;2.2;;6;1.68
20302979;http://world-fr.openfoodfacts.org/produit/20302979/liodoro-amande-sondey;Liodoro Amande;Sondey;Lidl;Fruits à coque;e;Biscuits;2266;34.1;16;50.6;28.3;;7;0.43
20302993;http://world-fr.openfoodfacts.org/produit/20302993/liodoro-vanille-sondey;Liodoro Vanille;Sondey;LIDL,Lidl;Fruits à coque;e;Biscuits;2223;31.5;15.4;56.8;21.6;;4.7;0.499999999999999
2,03E+12;http://world-fr.openfoodfacts.org/produit/2030500386128/pain-au-chocolat-x-5-pur-beurre-auchan;Pain au chocolat (x 5) Pur Beurre;Auchan;Auchan;;;Petit-déjeuners;;;;;;;;
20308986;http://world-fr.openfoodfacts.org/produit/20308986/liodoro-noix-de-coco-sondey;Liodoro noix de coco;Sondey;LIDL;;e;Biscuits;2330;36;21.6;52;26.2;;5.2;0.43
20332389;http://world-fr.openfoodfacts.org/produit/20332389/fines-crepes-dentelle-saveurs-de-nos-regions;Fines Crêpes Dentelle;Saveurs de nos Régions,Lidl;Lidl;;e;Biscuits;1971;17;11.5;72.2;35;2;6.3;0.55
